Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Propylene glycol,,",Total","Propylene glycol, 1,2-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,44000,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total","Propylene glycol, 1,3-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,10000,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Chloramine,,,Reactive Chlorine Species,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.5,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=194,,,
Pyrethrins,,",Total",Pyrethrum,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.01,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Quinoline,,",Total",Quinoline,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,10,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Lindane,,,gamma-BHC,US,USEPA,WQC,Approved,Water,Freshwater,Acute,0.95,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Lindane,,,gamma-BHC,US,USEPA,WQC,Approved,Water,Marine,Acute,0.16,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Dissolved gases - saturation,,,"Gases, total dissolved","US,CA-AB, CA-ON",USEPA,WQC,Approved,Water,Freshwater,Chronic,110,%,,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Chloramine,,,Reactive Chlorine Species,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.5,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=194,,,
Radium-226,,",Total",Radium-226,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,1,Bq/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Glyphosate,,,Glyphosate,CA-MB,MB Gov,,Approved,Water,Freshwater,,65,ug/L,,,http://digitalcollection.gov.mb.ca/awweb/pdfopener?smd=1&did=19787&md=1,,MK,2020-12-16
Azinphos-methyl,,,Guthion,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.01,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Azinphos-methyl,,,Guthion,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Marine,Chronic,0.01,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Heptachlor,,,Heptachlor,US,USEPA,WQC,Approved,Water,Freshwater,Acute,0.52,ug/L,,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
Heptachlor,,,Heptachlor,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.0038,ug/L,,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
Heptachlor,,,Heptachlor,US,USEPA,WQC,Approved,Water,Marine,Acute,0.053,ug/L,,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
Heptachlor,,,Heptachlor,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.0036,ug/L,,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
Heptachlor epoxide,,,Heptachlor Epoxide,US,USEPA,WQC,Approved,Water,Freshwater,Acute,0.52,ug/L,,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Heptachlor epoxide,,,Heptachlor Epoxide,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.0038,ug/L,,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Heptachlor epoxide,,,Heptachlor Epoxide,US,USEPA,WQC,Approved,Water,Marine,Acute,0.053,ug/L,,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Heptachlor epoxide,,,Heptachlor Epoxide,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.0036,ug/L,,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Chlorine,,"Total Residual, Comb Available, Free Available",Reactive Chlorine Species,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.5,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=194,,,
Chlorine,,"Total Residual, Comb Available, Free Available",Reactive Chlorine Species,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.5,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=194,,,
Selenium,,Total,Selenium,"CA,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=197,,MK,2020-10-26
Silver,,",Total",Silver,CA-SK,SK Gov,EPB 356,Interim,Water,Freshwater,Chronic,0.1,ug/L,,,http://www.saskh2o.ca/pdf/epb356.pdf,,MK,2020-12-16
Fluoride,,,Inorganic fluorides,CA-MB,MB Gov,,Approved,Water,Freshwater,Chronic,0.12,ug/L,Inorganic fluorides.,,http://digitalcollection.gov.mb.ca/awweb/pdfopener?smd=1&did=19787&md=1,,MK,2020-12-16
,,Total,Resin acids,"CA-ON,CA-BC",ON Gov,,Interim,Water,Freshwater,Chronic,if (pH == 5) \{ 1 \} else if (5 < pH ≤ 5.5) \{ 3 \} else if (5.5 < pH ≤ 6) \{ 4 \} else if (6 < pH ≤ 6.5) \{ 9 \} else if (6.5 < pH ≤ 7) \{ 25 \} else if (7 < pH ≤ 7.5) \{ 45 \} else if (7.5 < pH ≤ 8) \{ 52 \} else if (8 < pH ≤ 8.5) \{ 60 \} else if (8.5 < pH ≤ 9) \{ 62 \},ug/L,"The PWQO applies only within the pH range of 5-9, beyond which DHA is completely in ionized or un-ionized form.",,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-30
Iron,,Total,Iron,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,1000,ug/L,,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Selenium,,",Total",Selenium,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,100,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Lead,,Dissolved,Lead,"US,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Acute,e^{1.273[ln(hardness)]-1.460}(1.46203-0.145712[ln(hardness)]),ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Dissolved,Lead,"US,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Chronic,e^{1.273[ln(hardness)]-4.705}(1.46203-0.145712[ln(hardness)]),ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Dissolved,Lead,"US,CA-MB",USEPA,WQC,Approved,Water,Marine,Acute,133.14,ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Dissolved,Lead,"US,CA-MB",USEPA,WQC,Approved,Water,Marine,Chronic,5.3256,ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Total,Lead,US,USEPA,WQC,Approved,Water,Freshwater,Acute,e^{1.273[ln(hardness)]-1.460},ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Total,Lead,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,e^{1.273[ln(hardness)]-4.705},ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Total,Lead,US,USEPA,WQC,Approved,Water,Marine,Acute,140,ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Lead,,Total,Lead,US,USEPA,WQC,Approved,Water,Marine,Chronic,5.6,ug/L,,,https://www.epa.gov/sites/production/files/2019-02/documents/ambient-wqc-lead-1984.pdf,,,
Silver,,Total,Silver,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.25,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=198,,MK,2020-10-26
Malathion,,,Malathion,"US,CA-AB,CA-QC,CA-BC",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.1,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Malathion,,,Malathion,"US,CA-AB,CA-QC,CA-BC",USEPA,WQC,Approved,Water,Marine,Chronic,0.1,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Silver,,",Total",Silver,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Silver,,Total,Silver,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Acute,7.5,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=198,,MK,2020-10-26
Simazine,,,Simazine,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,10,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/210/,,,
Simazine,,",Total",Simazine,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,10,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Styrene,,,Styrene,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,72,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/211/,,,
Mercury,,Total,Mercury,US,USEPA,WQC,Approved,Water,Freshwater,Acute,1.4,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Total,Mercury,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.77,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Total,Mercury,US,USEPA,WQC,Approved,Water,Marine,Acute,1.8,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Total,Mercury,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.94,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Dissolved,Mercury,US,USEPA,WQC,Approved,Water,Freshwater,Acute,1.19,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Dissolved,Mercury,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.6545,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Dissolved,Mercury,US,USEPA,WQC,Approved,Water,Marine,Acute,1.53,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Mercury,,Dissolved,Mercury,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.799,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Strontium-90,,",Total",Strontium-90,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,10,Bq/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Methoxychlor,,,Methoxychlor,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.03,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Methoxychlor,,,Methoxychlor,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Marine,Chronic,0.03,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Styrene,,",Total",Styrene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,4,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Sulfolane,,,Sulfolane,"CA,CA-AB,CA-BC,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,50000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/212/,,,
Tebuthiuron,,,Tebuthiuron,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.6,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/213/,,,
Carbon tetrachloride,,,Tetrachloromethane,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,13.3,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/185/,,,
"1,2,3,4-Tetrachlorobenzene",,",Total","Tetrachlorobenzene, 1,2,3,4-",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Mirex,,,Mirex,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.001,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
Mirex,,,Mirex,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Marine,Chronic,0.001,ug/L,Averaging period is 4d,,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
"1,2,3,5-Tetrachlorobenzene",,",Total","Tetrachlorobenzene, 1,2,3,5-",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
"1,2,4,5-Tetrachlorobenzene",,",Total","Tetrachlorobenzene, 1,2,4,5-",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.15,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
"1,1,1,2-Tetrachloroethane",,",Total","Tetrachloroethane, 1,1,1,2-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,20,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total","Tetrachloroethane, 1,1,2,2-",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,70,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tetrachloroethylene,,",Total",Tetrachloroethylene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,50,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tetrachloroguaiacol,,",Total",Tetrachloroguaiacol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.009,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tetrachlorophenol,,,Tetrachlorophenols,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=56,,,
Nickel,,Total,Nickel,"US,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Acute,e^{0.846[ln(hardness)]+2.255},ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Total,Nickel,"US,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Chronic,e^{0.846[ln(hardness)]+.0584},ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Total,Nickel,"US,CA-QC",USEPA,WQC,Approved,Water,Marine,Acute,74,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Total,Nickel,"US, CA-BC, CA-QC",USEPA,WQC,Approved,Water,Marine,Chronic,8.2,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Dissolved,Nickel,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Acute,0.998e^{0.846[ln(hardness)]+2.255},ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Dissolved,Nickel,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.997e^{0.846[ln(hardness)]+.0584},ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Dissolved,Nickel,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Marine,Acute,73.26,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Nickel,,Dissolved,Nickel,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Marine,Chronic,8.118,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
"2,3,4,5-Tetrachlorophenol",,",Total","Tetrachlorophenol, 2,3,4,5",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
"2,3,4,6-Tetrachlorophenol",,",Total","Tetrachlorophenol, 2,3,4,6",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
"2,3,5,6-Tetrachlorophenol",,",Total","Tetrachlorophenol, 2,3,5,6",CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tetrachlorophenol,,",Total",Tetrachlorophenols,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Thallium,,Total,Thallium,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.8,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=211,,MK,2020-10-26
,,",Total",Tetraethyl lead,"CA-ON,CA-BC",ON Gov,,Interim,Water,Freshwater,Chronic,0.0007,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Tetramethyl lead,"CA-ON,CA-BC",ON Gov,,Interim,Water,Freshwater,Chronic,0.006,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Thallium,,",Total",Thallium,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.3,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Nitrate,as N,,Nitrate,CA-MB,MB Gov,,Approved,Water,Freshwater,Chronic,13000,ug/L,,,http://digitalcollection.gov.mb.ca/awweb/pdfopener?smd=1&did=19787&md=1,,MK,2020-12-16
Toluene,,,Toluene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,2,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/216/,,,
Toluene,,",Total",Toluene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.8,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Nonylphenol,,,Nonylphenol,"US,CA-AB",USEPA,WQC,Approved,Water,Freshwater,Acute,28,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-nonylphenol-final.pdf,,,
Nonylphenol,,,Nonylphenol,"US,CA-AB",USEPA,WQC,Approved,Water,Freshwater,Chronic,6.6,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-nonylphenol-final.pdf,,,
Nonylphenol,,,Nonylphenol,"US,CA-AB",USEPA,WQC,Approved,Water,Marine,Acute,7,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-nonylphenol-final.pdf,,,
Nonylphenol,,,Nonylphenol,"US,CA-AB",USEPA,WQC,Approved,Water,Marine,Chronic,1.7,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-nonylphenol-final.pdf,,,
Toluene,,,Toluene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,215,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/216/,,,
Ammonia and ammonium,as N,Unfiltered,Total Ammonia,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.8224{1 \over 10^{(0.0901821+{2729.92 \over temperature +273.15}) - pH}+1},mg/L,,Table 2,http://ceqg-rcqe.ccme.ca/download/en/141/,,MK,2020-09-15
,,",Total",Tolyltriazole,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,3,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Triallate,,,Triallate,"CA,CA-AB,CA-SK,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.24,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/218/,,,
Parathion,,,Parathion,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Acute,0.065,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Parathion,,,Parathion,"US,CA-AB,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.013,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Toxaphene,,",Total",Toxaphene,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.008,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tributlytin,,,Tributyltin,"CA,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.008,ug/L,*Two similar commonly reported names,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=151,,,
Pentachlorophenol,,,Pentachlorophenol,"US,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Acute,e^{1.005pH - 4.869},ug/L,,,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,,,
Pentachlorophenol,,,Pentachlorophenol,"US,CA-QC",USEPA,WQC,Approved,Water,Freshwater,Chronic,e^{1.005pH - 5.134},ug/L,,,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,,,
Pentachlorophenol,,,Pentachlorophenol,"US,CA-QC",USEPA,WQC,Approved,Water,Marine,Acute,13,ug/L,,,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,,,
Pentachlorophenol,,,Pentachlorophenol,"US,CA-QC",USEPA,WQC,Approved,Water,Marine,Chronic,7.9,ug/L,,,https://cfpub.epa.gov/ncea/iris2/chemicalLanding.cfm?substance_nmbr=86,,,
Tributyl phosphate,,",Total",Tributyl phosphate,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.6,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tributlytin,,",Total",Tributyltin,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.000005,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Tributlytin,,,Tributyltin,"CA,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.001,ug/L,*Two similar commonly reported names,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=151,,,
